period_category,topic,count,name
2015_2021_cs.LG,0,1581,0_adversarial example_defense_perturbation_adversarial attack
2015_2021_cs.LG,1,862,1_arm_bandit_arm bandit_multi arm
2015_2021_cs.LG,2,752,2_causal_treatment_treatment effect_causal effect
2015_2021_cs.LG,3,737,3_point cloud_lidar_cloud_shape
2015_2021_cs.LG,4,720,4_item_recommendation_user item_recommender
2015_2021_cs.LG,5,667,5_fairness_fair_sensitive attribute_discrimination
2015_2021_cs.LG,6,653,6_ehr_patient_health record_electronic health
2015_2021_cs.LG,7,639,7_gans_gan_discriminator_generator
2015_2021_cs.LG,8,624,8_decentralize_communication_distribute_sgd
2015_2021_cs.LG,9,600,9_svrg_nonconvex_strongly convex_finite sum
2015_2021_cs.LG,10,577,10_anomaly_anomaly detection_outlier_anomalous
2015_2021_cs.LG,11,485,11_quantum_quantum circuit_circuit_quantum machine
2015_2021_cs.LG,12,467,12_cluster_clustering_number cluster_mean cluster
2015_2021_cs.LG,13,453,13_continual_forget_catastrophic_catastrophic forget
2015_2021_cs.LG,14,442,14_dictionary_sparse signal_dictionary learn_sparse cod
2015_2021_cs.LG,15,439,15_meta learn_meta_maml_shot
2015_2021_cs.LG,16,425,16_molecule_molecular_drug_chemical
2015_2021_cs.LG,17,416,17_gcn_gnns_gcns_gnn
2015_2021_cs.LG,18,403,18_client_federate_fl_federate learn
2015_2021_cs.LG,19,393,19_explanation_attribution_lime_xai
2015_2021_cs.LG,20,372,20_bayesian optimization_bo_acquisition function_box function
2015_2021_cs.LG,21,371,21_rnns_rnn_recurrent_lstm
2015_2021_cs.LG,22,348,22_bug_program_source code_developer
2015_2021_cs.LG,23,332,23_precipitation_climate_weather_flood
2015_2021_cs.LG,24,328,24_gpu_parallelism_tensorflow_gpus
2015_2021_cs.LG,25,327,25_active learn_active_learn al_al
2015_2021_cs.LG,26,316,26_stock_market_stock price_price
2015_2021_cs.LG,27,302,27_domain adaptation_target domain_uda_adaptation
2015_2021_cs.LG,28,293,28_news_social medium_fake news_twitter
2015_2021_cs.LG,29,293,29_differential privacy_private_differentially private_differentially
2015_2021_cs.LG,30,290,30_calibration_uncertainty_uncertainty estimation_epistemic
2015_2021_cs.LG,31,279,31_tensor_rank tensor_tensor completion_tensor decomposition
2015_2021_cs.LG,32,279,32_intrusion_intrusion detection_network traffic_iot
2015_2021_cs.LG,33,273,33_material_crystal_molecular dynamic_molecular
2015_2021_cs.LG,34,266,34_vae_vaes_variational autoencoders_posterior collapse
2015_2021_cs.LG,35,266,35_seismic_earthquake_subsurface_rock
2015_2021_cs.LG,36,265,36_driver_pedestrian_trajectory prediction_trajectory
2015_2021_cs.LG,37,258,37_covid_chest_pneumonia_chest ray
2015_2021_cs.LG,38,257,38_mdps_mdp_markov decision_ucrl
2015_2021_cs.LG,39,255,39_gp_gps_induce point_gp regression
2015_2021_cs.LG,40,252,40_community detection_community_stochastic block_sbm
2015_2021_cs.LG,41,252,41_nas_na_architecture search_neural architecture
2015_2021_cs.LG,42,245,42_tumor_medical image_segmentation_brain tumor
2015_2021_cs.LG,43,242,43_covid_pandemic_covid pandemic_county
2015_2021_cs.LG,44,241,44_relu_approximation rate_relu network_linear region
2015_2021_cs.LG,45,240,45_kernel ridge_kernel_ridge regression_random fourier
2015_2021_cs.LG,46,239,46_prune_pruning_network prune_prune network
2015_2021_cs.LG,47,238,47_accelerator_fpga_hardware_chip
2015_2021_cs.LG,48,234,48_pool_cnns_pooling_convolution
2015_2021_cs.LG,49,231,49_multi agent_marl_agent reinforcement_cooperative
2015_2021_cs.LG,50,230,50_lasso_screening rule_mean estimation_linear regression
2015_2021_cs.LG,51,229,51_pac_pac bayes_pac bayesian_vc dimension
2015_2021_cs.LG,52,228,52_object detection_semantic segmentation_object_instance segmentation
2015_2021_cs.LG,53,225,53_symbolic_logic_ilp_logic program
2015_2021_cs.LG,54,223,54_noisy label_label noise_noisy_learn noisy
2015_2021_cs.LG,55,223,55_fault_rul_maintenance_fault diagnosis
2015_2021_cs.LG,56,221,56_fmri_asd_brain_brain network
2015_2021_cs.LG,57,216,57_network embed_random walk_graph embed_walk
2015_2021_cs.LG,58,211,58_imitation_imitation learn_gail_demonstration
2015_2021_cs.LG,59,207,59_multi label_label classification_mlc_xmc
2015_2021_cs.LG,60,205,60_distillation_teacher_knowledge distillation_kd
2015_2021_cs.LG,61,202,61_lhc_jet_collider_particle
2015_2021_cs.LG,62,200,62_pca_principal component_principal_spca
2015_2021_cs.LG,63,200,63_sound event_sound_acoustic scene_dcase
2015_2021_cs.LG,64,195,64_hash_hash code_hashing_lsh
2015_2021_cs.LG,65,193,65_ot_optimal transport_transport_barycenter
2015_2021_cs.LG,66,192,66_pdes_pde_pinns_partial differential
2015_2021_cs.LG,67,190,67_traffic_traffic flow_traffic forecast_traffic prediction
2015_2021_cs.LG,68,189,68_series forecast_forecast_forecasting_series
2015_2021_cs.LG,69,189,69_spike_snns_spike neural_snn
2015_2021_cs.LG,70,188,70_mimo_csi_channel estimation_input multiple
2015_2021_cs.LG,71,188,71_handwritten_document_character_document image
2015_2021_cs.LG,72,187,72_selection_unsupervised selection_wrapper_base selection
2015_2021_cs.LG,73,185,73_forest_random forest_tree_decision tree
2015_2021_cs.LG,74,181,74_music_musical_chord_music generation
2015_2021_cs.LG,75,181,75_matrix completion_rank matrix_completion_nuclear norm
2015_2021_cs.LG,76,179,76_local minimum_minimum_critical point_landscape
2015_2021_cs.LG,77,177,77_eeg_bci_eeg signal_brain computer
2015_2021_cs.LG,78,176,78_bayesian neural_bnns_bayesian deep_bnn
2015_2021_cs.LG,79,174,79_quantization_quantize_bit_weight activation
2015_2021_cs.LG,80,172,80_contrastive_self supervise_contrastive learn_byol
2015_2021_cs.LG,81,172,81_ecg_arrhythmia_ecg signal_electrocardiogram
2015_2021_cs.LG,82,171,82_submodular_submodular function_submodular maximization_submodularity
2015_2021_cs.LG,83,169,83_equivariant_equivariance_symmetry_group equivariant
2015_2021_cs.LG,84,168,84_har_activity recognition_human activity_activity
2015_2021_cs.LG,85,165,85_gene_cancer_omics_mutation
2015_2021_cs.LG,86,164,86_learn rank_pairwise comparison_ranking_ranker
2015_2021_cs.LG,87,162,87_malware_malware detection_android_phishing
2015_2021_cs.LG,88,162,88_mpc_controller_predictive control_close loop
2015_2021_cs.LG,89,161,89_sac_critic_policy gradient_actor critic
2015_2021_cs.LG,90,161,90_secure_homomorphic_encrypt_fhe
2015_2021_cs.LG,91,159,91_student_course_knowledge trace_educational
2015_2021_cs.LG,92,158,92_deepfake_deepfakes_deepfake detection_face
2015_2021_cs.LG,93,153,93_oct_retinal_fundus_retinopathy
2015_2021_cs.LG,94,152,94_asr_speech recognition_automatic speech_recognition asr
2015_2021_cs.LG,95,152,95_metric learn_dml_distance metric_deep metric
2015_2021_cs.LG,96,151,96_nmf_nonnegative_nonnegative matrix_matrix factorization
2015_2021_cs.LG,97,151,97_wireless_resource allocation_drl_allocation
2015_2021_cs.LG,98,150,98_drive_autonomous drive_lane_autonomous
2015_2021_cs.LG,99,148,99_game_nash_equilibrium_nash equilibrium
2015_2021_cs.LG,100,146,100_ood_ood detection_distribution ood_ood sample
2015_2021_cs.LG,101,144,101_drift_drift detection_stream_stream classification
2015_2021_cs.LG,102,143,102_speaker_speaker verification_speaker recognition_diarization
2015_2021_cs.LG,103,142,103_power flow_opf_bus_ac opf
2015_2021_cs.LG,104,141,104_dynamic regret_online convex_regret_oco
2015_2021_cs.LG,105,140,105_svm_support vector_svms_vector machine
2015_2021_cs.LG,106,139,106_separation_source separation_speech separation_music source
2015_2021_cs.LG,107,136,107_transformer_self attention_attention_sequence length
2015_2021_cs.LG,108,136,108_variational inference_vb_vi_variational
2015_2021_cs.LG,109,136,109_auction_seller_pricing_buyer
2015_2021_cs.LG,110,136,110_fl_wireless_feel_fl wireless
2015_2021_cs.LG,111,135,111_mri_pet_mri reconstruction_fully sample
2015_2021_cs.LG,112,135,112_protein_protein sequence_amino_amino acid
2015_2021_cs.LG,113,135,113_image compression_compression_video cod_codec
2015_2021_cs.LG,114,134,114_stain_slide_slide image_histopathology
2015_2021_cs.LG,115,134,115_tsp_combinatorial optimization_travel salesman_salesman
2015_2021_cs.LG,116,132,116_sar_remote sense_change detection_satellite
2015_2021_cs.LG,117,131,117_mtl_multi learn_learn mtl_multitask
2015_2021_cs.LG,118,129,118_emotion_facial_facial expression_emotion recognition
2015_2021_cs.LG,119,129,119_normalize flow_flow_normalize_invertible
2015_2021_cs.LG,120,128,120_em_mixture_gaussian mixture_expectation maximization
2015_2021_cs.LG,121,125,121_speech enhancement_enhancement_speech_intelligibility
2015_2021_cs.LG,122,124,122_bn_normalization_batch normalization_normalization bn
2015_2021_cs.LG,123,122,123_disentanglement_disentangle_disentangle representation_disentangled representation
2015_2021_cs.LG,124,121,124_modulation_transmitter_radio_modulation classification
2015_2021_cs.LG,125,120,125_series classification_tsc_shapelets_cote
2015_2021_cs.LG,126,120,126_ssl_pseudo label_semi supervise_unlabeled
2015_2021_cs.LG,127,119,127_oversampling_minority_imbalanced_minority class
2015_2021_cs.LG,128,118,128_ctr_ctr prediction_cvr_click
2015_2021_cs.LG,129,117,129_chest_chest ray_ray_chexpert
2015_2021_cs.LG,130,116,130_deep clustering_clustering_image cluster_cluster
2015_2021_cs.LG,131,114,131_action recognition_human action_skeleton_skeleton base
2015_2021_cs.LG,132,114,132_alzheimer_alzheimer disease_ad_disease ad
2015_2021_cs.LG,133,113,133_modality_multimodal_modal_cross modal
2015_2021_cs.LG,134,113,134_asv_spoof_asvspoof_automatic speaker
2015_2021_cs.LG,135,112,135_biologically_synaptic_hebbian_biologically plausible
2015_2021_cs.LG,136,109,136_reservoir_esn_esns_echo network
2015_2021_cs.LG,137,109,137_game_alphazero_self play_board game
2015_2021_cs.LG,138,107,138_crowdsourcing_worker_crowd_crowdsourced
2015_2021_cs.LG,139,107,139_knowledge graph_kg_entity relation_entity
2015_2021_cs.LG,140,107,140_attack graph_gnns_attack gnns_gnns vulnerable
2015_2021_cs.LG,141,104,141_hpo_hyperparameter_hyperparameter optimization_optimization hpo
2015_2021_cs.LG,142,104,142_persistence_persistence diagram_homology_persistent homology
2015_2021_cs.LG,143,104,143_video_video representation_frame_video prediction
2015_2021_cs.LG,144,102,144_manifold_manifold learn_isomap_lle
2015_2021_cs.LG,145,99,145_hawkes_event sequence_intensity function_event
2015_2021_cs.LG,146,98,146_gait_parkinson_parkinson disease_pd
