Topic,Count,Name,Representation,Representative_Docs,Total
-1,276,-1_speech_base_corpus_natural,"['speech', 'base', 'corpus', 'natural', 'processing', 'recognition', 'learn', 'linguistic', 'morphological', 'rule']","['exist natural language interface databases nlidbs design use snapshot database system provide limited facility manipulate time dependent data consequently nlidbs also provide limited support notion time database community become increasingly interested temporal database system intend store manipulate principled manner information present also past future thesis develop principled framework construct english nlidbs temporal database nlitdbs draw research tense aspect theory temporal logic temporal database first explore temporal linguistic phenomenon likely appear english question nlitdbs draw exist linguistic theory time formulate account large number phenomena simple enough embodied practical nlitdbs exploit idea temporal logic define temporal meaning representation language top show hpsg grammar theory modify incorporate tense aspect account thesis map wide range english question involve time appropriate top expression finally present prove correctness method translate top tsql tsql temporal extension sql database language way establish sound route english question involve time general purpose temporal database language act principled framework building nlitdbs demonstrate framework workable employ develop prototype nlitdb implement use ale prolog', 'paper present constraint base morphological disambiguation approach applicable language complex morphology specifically agglutinative language productive inflectional derivational morphological phenomenon certain respect approach motivate brill recent work observation transformational approach directly applicable language like turkish system combine corpus independent hand craft constraint rule constraint rule learn via unsupervised learn train corpus additional statistical information corpus morphologically disambiguated hand craft rule linguistically motivate tuned improve precision without sacrifice recall unsupervised learn process produce two set rule choose rule choose morphological parses lexical item satisfy constraint effectively discard parses ii delete rule delete parses satisfy constraint approach also use novel approach unknown word processing employ secondary morphological processor recovers relevant inflectional derivational information lexical item whose root unknown approach well percent token remain unknown text experiment result indicate combine hand craft statistical learn information source attain recall percent correspond precision percent ambiguity parse per token', 'thesis present constraint base morphological disambiguation approach applicable language complex morphology specifically agglutinative language productive inflectional derivational morphological phenomenon morphologically complex language like turkish automatic morphological disambiguation involve select token morphological parse right set inflectional derivational marker system combine corpus independent hand craft constraint rule constraint rule learn via unsupervised learn train corpus additional statistical information obtain corpus morphologically disambiguated hand craft rule linguistically motivate tuned improve precision without sacrifice recall certain respect approach motivate brill recent work observation transformational approach directly applicable language like turkish approach also use novel approach unknown word processing employ secondary morphological processor recovers relevant inflectional derivational information lexical item whose root unknown approach well tokens remains unknown texts experiment result indicate combine hand craft statistical learn information source attain recall correspond precision ambiguity parse per token']",926
0,207,0_grammar_formalism_unification_semantics,"['grammar', 'formalism', 'unification', 'semantics', 'constraint', 'parse', 'hpsg', 'tree', 'logic', 'dependency']","['syntactic ambiguity abound natural language yet humans difficulty cop fact process ambiguity resolution almost always unconscious infallible however example demonstrate horse race past barn fell sentence perfectly grammatical evident appear follow context two horse show prospective buyer one race past meadow race past barn grammatical yet unprocessable sentence call garden path sentence existence provide opportunity investigate human sentence processing mechanism study fails aim thesis construct computational model language understand predict processing difficulty data model known example garden path non garden path sentence result psycholinguistics widely believe two distinct loci computation sentence processing syntactic parsing semantic interpretation one longstanding controversy two module bear responsibility immediate resolution ambiguity claim latter syntactic processing module simple device blindly faithfully construct possible analysis sentence current point processing interpretive module serf filter occasionally discard certain analysis deem less appropriate ongoing discourse competitor document divide three part first introductory review selection proposal sentence processing literature second part explore body data adduce support theory structural preference one inconsistent present claim show current proposal specify account available data moreover predict structural preference theory go wrong third part theoretical investigation well propose architecture realize use current conception linguistic competence present parse algorithm meaning base ambiguity resolution method', 'paper present constraint base semantic formalism hpsg advantage formlism show respect grammar fragment german deal quantifier scope ambiguity trigger scramble movement ii ambiguity arise collective distributive distinction plural nps syntax semantics interface directly implement syntactic condition quantifier scoping distributivity construction semantic representation guide general principle govern interaction syntax semantics principle act constraint narrow set possible interpretation sentence meaning ambiguous sentence represent single partial representation call u nderspecified iscourse r epresentation tructure constraint add monotonically gain information content sentence need build large number alternative representation sentence filter subsequent discourse world knowledge advantage udrss allow monotonic incremental interpretation also equip truth condition proof theory allows inference draw directly structure quantifier scope resolve', 'relationship lexical functional grammar lfg em functional structure f structure sentence semantic interpretation express directly fragment linear logic way correctly explain constrained interaction quantifier scope ambiguity bound anaphora intensionality deductive approach semantic interpretaion obviates need additional mechanism cooper storage represent possible scope quantify np explains interaction quantify nps anaphora intensional verb seek single specification linear logic argument requirement intensional verbs sufficient derive correct read prediction intensional verb clause nonquantified quantified direct object particular de dicto de reading derive quantified object effect type raise quantify rule framework follow linear logic theorems approach resembles current categorial approach important way differs allow great type flexibility categorial semantics maintain precise connection syntax result able provide derivation certain reading sentence intensional verb complex direct object derivable current purely categorial account syntax semantics interface']",926
1,76,1_sense_disambiguation_sense disambiguation_noun,"['sense', 'disambiguation', 'sense disambiguation', 'noun', 'document', 'retrieval', 'corpus', 'lexical', 'large', 'automatic']","['address problem automatically acquire case frame pattern selectional pattern large corpus data particular propose method learn dependency case frame slot view problem learning case frame pattern learn multi dimensional discrete joint distribution random variable represent case slot formalize dependency case slot probabilistic dependency random variable since number parameter multi dimensional joint distribution exponential infeasible accurately estimate practice overcome difficulty settle approximate target joint distribution product low order component distribution base corpus data particular propose employ efficient learn algorithm base mdl principle realize task experimental result indicate certain class verbs accuracy achieve disambiguation experiment improve use acquire knowledge dependency', 'consider problem learn certain type lexical semantic knowledge express binary relation word call sub categorization verb verb noun relation compound noun phrase relation noun noun relation specifically view problem line learn problem sense littlestone learn model learner goal minimize total number prediction mistake computational learn theory literature goldman rivest schapire subsequently goldman warmuth consider line learn problem binary relation r x one domain set x partition relatively small number type namely cluster consist behaviorally indistinguishable member x paper extend model suppose set x partition small number type propose host prediction algorithms two dimensional extension goldman warmuth weighted majority type algorithm propose original model apply algorithms learn problem compound noun phrase relation noun relate another case form noun phrase together experimental result show algorithms perform goldman warmuth algorithm also theoretically analyze performance one algorithm form upper bound bad case number prediction mistake make', 'resolution lexical ambiguity commonly term word sense disambiguation expect improve analytical accuracy task sensitive lexical semantics task include machine translation information retrieval parse natural language understand lexicography reflect growth utilization machine readable text word sense disambiguation technique explore variously context corpus base approach within one corpus base framework similarity base method system use database example sentence manually annotate correct word sense give input system search database similar example input lexical ambiguity word contain input resolve select sense annotation retrieve example research apply method resolution verbal polysemy similarity two example compute weighted average similarity complement govern target polysemous verb explore similarity base verb sense disambiguation focus follow three method first propose weight schema verb complement similarity computation second similarity base technique overhead manual supervision search large sized database prohibitive resolve problem propose method select small number effective example system usage finally efficiency system highly dependent similarity computation use maximize efficiency propose method integrates advantage previous method similarity computation']",926
2,65,2_dialogue_agent_plan_belief,"['dialogue', 'agent', 'plan', 'belief', 'act', 'dialogue act', 'initiative', 'dialog', 'utterance', 'speak']","['dialogue agent autonomous agent deliberate whether accept reject contribution current speaker speaker cannot simply assume proposal assertion accept however examination corpus naturally occur problem solve dialogue show agent often explicitly indicate acceptance rejection rather speaker must infer whether hearer understands accept current contribution base indirect evidence provide hearer next dialogue contribution paper propose model role informationally redundant utterance provide evidence support inference mutual understanding acceptance model require theory mutual belief support mutual beliefs various strength explain function class informationally redundant utterance cannot explained account contribute theory dialogue show mutual belief infer absence master slave assumption', 'paper show agent choice communicative action design mitigate effect resource limit context particular feature collaborative plan task first motivate number hypothesis effective language behavior base statistical analysis corpus natural collaborative planning dialogue hypothesis test dialogue testbed whose design motivate corpus analysis experiment testbed examine interaction agent resource limit attentional capacity inferential capacity agent choice communication feature communicative task affect task difficulty inferential complexity degree belief coordination require tolerance error result show good algorithm communication must define relative agent resource limit feature task algorithms inefficient inferentially simple low coordination fault tolerant task effective task require coordination complex inference fault intolerant result provide explanation occurrence utterance human dialogue prima facie appear inefficient provide basis design effective algorithm communicative choice resource limit agent', 'show belief model dialogue simplify assumption make participant cooperate e commit goal require deception domain need maintain individual representation deeply nest belief instead three specific type belief use summarize state nested belief exist domain entity set design compiler belief model system accept input description agent interaction task domain express fully expressive belief logic non monotonic temporal extension generate operational belief model use domain sufficient requirement cooperative dialogue include negotiation complex domain plan compile model incorporates belief simplification mention also use simplified temporal logic belief base restricted circumstance beliefs change shall review motivation create system introduce general procedure take logical specification domain procesing operational model shall discuss specific change make procedure limit level abstraction concept belief nest default reason time express finally shall go worked example relate map task simple cooperative problem solve exercise']",926
3,59,3_translation_machine translation_mt_english,"['translation', 'machine translation', 'mt', 'english', 'machine', 'japanese', 'bilingual', 'parallel', 'translate', 'japanese english']","['large amount low medium quality english text produce machine translation mt system optical character reader ocr non native speaker english text must postedited hand see light day improve text quality tedious work automation receive much research attention anyone postedited technical report thesis write non native speaker english know potential automate postediting system case mt generate text argue construction postediting module portable across mt system alternative hardcoding improvement inside one system example build complete self contain postediting module task article selection english noun phrase notoriously difficult problem japanese english mt system contain rule derive automatically online text resource report learn algorithms accuracy comparison human performance', 'knowledge base machine translation kbmt system achieve excellent result constrain domain yet scale newspaper text reason knowledge resource lexicon grammar rule world model must painstakingly handcraft scratch one hypotheses test pangloss machine translation project whether resource semi automatically acquire large scale paper focus construction large ontology knowledge base world model support kbmt contains representation commonly encounter object process quality relation ontology construct merge various online dictionary semantic network bilingual resource semi automatic method method e g conceptual matching semantic taxonomy broadly applicable problem import export knowledge one kb another method e g bilingual match allow knowledge engineer build index kb second language spanish japanese', 'advent faster computer notion machine translation huge store database translation example longer unreasonable paper describe attempt merge example base machine translation ebmt approach psycholinguistic principle new formalism context free grammar call marker normal form demonstrate used describe language data way compatible psycholinguistic theory embed formalism standard multivariate optimization framework system build infers correct transfer function set bilingual sentence pair use function translate novel sentence validity line reason test development system call metla system use infer english french english urdu transfer function small corpus result experiment examine engineering term well linguistic term general result experiment psycho logically linguistically well ground still achieve respectable level success compare similar prototype use hidden markov model']",926
4,58,4_tagger_tag_statistical_entropy,"['tagger', 'tag', 'statistical', 'entropy', 'speech', 'maximum', 'maximum entropy', 'bigram', 'corpus', 'rule base']","['many application natural language processing necessary determine likelihood give word combination example speech recognizer may need determine two word combination eat peach eat beach likely statistical nlp method determine likelihood word combination accord frequency training corpus however nature language many word combination infrequent occur give corpus work propose method estimate probability previously unseen word combination use available information similar word describe probabilistic word association model base distributional word similarity apply improve probability estimate unseen word bigram variant katz back model similarity base method yield perplexity improvement prediction unseen bigram statistically significant reduction speech recognition error', 'introduce memory base approach part speech tag memory base learning form supervise learn base similarity base reason part speech tag word particular context extrapolate similar case hold memory supervise learning approach useful tag corpus available example desire output tagger base corpus tagger generator automatically build tagger able tag new text way diminish development time construction tagger considerably memory base tag share advantage statistical machine learn approach additional advantage specific memory base approach include relatively small tag corpus size sufficient training ii incremental learn iii explanation capability iv flexible integration information case representation v non parametric nature vi reasonably good result unknown word without morphological analysis vii fast learn tag paper show large scale application memory base approach feasible obtain tag accuracy par know statistical approach attractive space time complexity property use em igtree tree base formalism index search huge case base use igtree additional advantage optimal context size disambiguation dynamically compute', 'many application natural language processing nlp necessary determine likelihood give word combination example speech recognizer may need determine two word combination eat peach eat beach likely statistical nlp method determine likelihood word combination frequency train corpus however nature language many word combination infrequent occur give corpus work propose method estimate probability previously unseen word combination use available information similar word describe probabilistic word association model base distributional word similarity apply two task language model pseudo word disambiguation language model task similarity base model use improve probability estimate unseen bigram back language model similarity base method yield perplexity improvement prediction unseen bigram statistically significant reduction speech recognition error also compare four similarity base estimation method back maximum likelihood estimation method pseudo word sense disambiguation task control unigram bigram frequency avoid give much weight easy disambiguate high frequency configuration similarity base method perform good particular task']",926
5,54,5_parser_parse_sentence_grammar,"['parser', 'parse', 'sentence', 'grammar', 'probabilistic', 'bracket', 'accuracy', 'parses', 'syntactic', 'tree']","['syntactic natural language parser show inadequate processing highly ambiguous large vocabulary text evidence poor performance domain like wall street journal movement away parse base approach text process general paper describe spatter statistical parser base decision tree learn technique construct complete parse every sentence achieve accuracy rate far well publish result work base follow premise grammar complex detail develop manually interesting domain parse model must rely heavily lexical contextual information analyze sentence accurately exist n gram model technique inadequate parse model experiment compare spatter ibm computer manual parser spatter significantly outperform grammar base parser evaluate spatter penn treebank wall street journal corpus use parseval measure spatter achieves precision recall cross bracket per sentence sentence word less precision recall cross bracket sentence word length', 'propose system parse translate natural language learn examples us background knowledge parse model choose deterministic shift reduce type parser integrates part speech tag syntactic semantic processing apply machine learn technique system use parse action example acquire supervision generate parser form decision structure generalization decision tree learn good parsing translation decision system rely heavily context encode currently feature describe morphological syntactical semantical aspect give parse state compare recent probabilistic system train sentence system rely background knowledge deeper analysis radically few example currently sentence test parser lexically limited sentence wall street journal achieve accuracy rate label precision part speech tag test sentence without cross bracket machine translation wall street journal sentence german evaluate bilingual volunteer grade best bad scale grammatical correctness meaning preservation', 'traditional natural language parser base rewrite rule system develop arduous time consume manner grammarian majority grammarian effort devote disambiguation process first hypothesize rule dictate constituent category relationships among word ambiguous sentence seek exception correction rule work propose automatic method acquire statistical parser set parse sentence take advantage initial linguistic input avoids pitfall iterative seemingly endless grammar development process base distributionally derive linguistically base feature language parser acquire set statistical decision tree assign probability distribution space parse tree give input sentence decision tree take advantage significant amount contextual information potentially include lexical information sentence produce highly accurate statistical model disambiguation process base disambiguation criterion selection entropy reduction rather human intuition parser development method able consider sentence human grammarian make individual disambiguation rule experiment parser acquire use statistical framework grammarian rule base parser develop ten year period use train material test sentence decision tree parser significantly outperform grammar base parser accuracy measure grammarian try maximize achieve accuracy compare grammar base parser']",926
6,39,6_center_sc_zero_refer,"['center', 'sc', 'zero', 'refer', 'anaphora', 'attentional', 'segment', 'role', 'pronominal', 'preference']","['language japanese use zero unexpressed argument verb utterance shift topic involve risk meaning intend speaker may transparent hearer however potentially undesirable conversational strategy often occur course naturally occur discourse chapter report empirical study utterance zero japanese newspaper article utterance analyzed term center transition form center realize refer expression also examine lexical subcategorization information tense aspect order test hypothesis speaker expect hearer use information determine global discourse structure explain occurrence zero sc retain sc rough shift center transition claim zero use case shift center support contextual information lexical semantics tense aspect agreement feature propose algorithm center incorporate observation integrate center global discourse structure thus enhance ability non local pronoun resolution', 'paper three aim generalize computational account discourse process call sc center apply account discourse process japanese used computational system machine translation language understanding provide insight effect syntactic factor japanese discourse interpretation argue discourse interpretation inferential process syntactic cue constrain process demonstrate argument respect interpretation sc zero unexpressed argument verb japanese syntactic cue japanese discourse investigate morphological marker grammatical sc topic postposition wa well grammatical function sc subject em ga sc object em sc object em ni addition investigate role speaker sc empathy viewpoint event describe syntactically indicate use verbal compounding e auxiliary use verb kureta kita result base survey native speaker interpretation short discourse consist minimal pair vary one factor demonstrate syntactic cue indeed affect interpretation sc zero previously sc topic realize sc zero also contribute salience discourse entity propose discourse rule sc zero topic assignment show sc center provide constraint sc zero interpreted sc zero topic', 'center formulate model relationship attentional state form refer expression coherence utterance within discourse segment grosz joshi weinstein grosz joshi weinstein chapter argue restriction center operate within discourse segment abandon order integrate center model global discourse structure within segment restriction cause three problem first problem center often continue discourse segment boundary pronominal refer expression whose form identical occur within discourse segment second problem recent work show listener perceive segment boundary various level granularity center model universal process phenomenon implausible listener use different center algorithm third issue even utterance within discourse segment strong contrast utterance whose adjacent utterance within segment hierarchically recent whose adjacent utterance within segment linearly recent chapter argue problem eliminate replace grosz sidner stack model attentional state alternate model cache model show cache model easily integrate center algorithm provide several type data naturally occur discourse support propose integrated model future work provide additional support claim examination large corpus naturally occur discourse']",926
7,33,7_nlg_gate_technology_nlp,"['nlg', 'gate', 'technology', 'nlp', 'generation', 'tpi', 'ontology', 'project', 'software', 'knowledge']","['increase use new method nlp nemlap conference series exemplify occur context wider shift nature concern discipline paper begin short review context significant trend field review motivate lead set requirement support software general utility nlp research development worker freely available system design meet requirement describe call gate general architecture text engineering information extraction ie sense define message understanding conference arpa cite arp nlp application many new method find home hobbs cite hob jacob ed cite jac ie system base gate also available research purpose describe lastly review related work', 'important part build natural language generation nlg system knowledge acquisition decide specific schema plan grammar rule forth use nlg system discuss experiment perform ka content selection rule context building nlg system generate health related material experiment suggest useful supplement corpus analysis ka technique develop build expert system structure group discussion think aloud protocol also raise point ka issue may influence architectural design issue particular decision whether plan approach use content selection suspect case ka may easier constructive expert system technique production rule case base reasoning use determine content generate text', 'classify review current approach software infrastructure research development delivery nlp system task motivated discussion current trend field nlp language engineering describe system call gate general architecture text engineering provide software infrastructure top heterogeneous nlp processing module may evaluate refine individually may combine large application system gate aim support researcher developer work component technology e g parse tag morphological analysis work develop end user application e g information extraction text summarisation document generation machine translation second language learn gate promotes reuse component technology permit specialisation collaboration large scale project allow comparison evaluation alternative technology first release gate available see http www dc shef ac uk research group nlp gate']",926
8,30,8_turkish_morphology_level_order,"['turkish', 'morphology', 'level', 'order', 'morphological', 'handle', 'multi tape', 'tape', 'lexicon', 'argument']","['turkish possibly many language verbs often convey several meaning totally unrelated used subject object oblique object adverbial adjunct certain lexical morphological semantic feature co occurrence restriction addition usual sense variation due selectional restriction verbal argument case mean conveyed case frame idiomatic compositional subtle constraint paper present approach build constraint base case frame lexicon use natural language processing turkish whose prototype implement tfs system develop univ stuttgart number observation make turkish indicated need something beyond traditional transitive intransitive distinction utilize framework verb valence consider obligatory co existence arbitrary subset possible argument along obligatory exclusion certain others relative verb sense additional morphological lexical semantic constraint syntactic constituent organize tier constraint hierarchy utilized map give syntactic structure case fraame specific verb sense', 'paper describe tactical generation turkish free constituent order language order constituent may change accord information structure sentence generate absence information regard information structure sentence e topic focus background etc constituent sentence obey default order order almost freely changeable depend constraint text flow discourse use recursively structured finite state machine handling change constituent order implement right linear grammar backbone implementation environment genkit system develop carnegie mellon university center machine translation morphological realization implement use external morphological analysis generation component perform concrete morpheme selection handle morphographemic process', 'thesis describe tactical generator turkish free constituent order language order constituent may change accord information structure sentence generate absence information regard information structure sentence e topic focus background etc constituent sentence obey default order order almost freely changeable depend constraint text flow discourse use recursively structured finite state machine handling change constituent order implement right linear grammar backbone implementation environment genkit system develop carnegie mellon university center machine translation morphological realization implement use external morphological analysis generation component perform concrete morpheme selection handle morphographemic process']",926
