Topic,Count,Name,Representation,Representative_Docs,Total
-1,28784,-1_rl_robot_reinforcement learn_reinforcement,"['rl', 'robot', 'reinforcement learn', 'reinforcement', 'environment', 'equation', 'control', 'reward', 'policy', 'agent']","['ubiquitous adoption internet thing iot base application result emergence fog compute paradigm allow seamlessly harness mobile edge cloud resource efficient schedule application task environment challenge due constrain resource capability mobility factor iot resource heterogeneity network hierarchy stochastic behavior xisting heuristic reinforcement learn base approach lack generalizability quick adaptability thus fail tackle problem optimally also unable utilize temporal workload pattern suitable centralized setup however asynchronous advantage actor critic c learn know quickly adapt dynamic scenario less data residual recurrent neural network r n quickly update model parameter thus propose c base real time scheduler stochastic edge cloud environment allow decentralize learn concurrently across multiple agent use r n architecture capture large number host task parameter together temporal pattern provide efficient scheduling decision propose model adaptive able tune different hyper parameter base application requirement explicate choice hyper parameter sensitivity analysis experiment conduct real world data set show significant improvement term energy consumption response time service level agreement run cost respectively compare state art algorithm', 'present framework address class sequential decision make problem framework feature learn optimal control policy robustness noisy data determine unknown state action parameter perform sensitivity analysis respect problem parameter consider two broad category sequential decision make problem model infinite horizon markov decision process mdps without absorb state central idea underlie framework quantify exploration term shannon entropy trajectory mdp determine stochastic policy maximizes guarantee low value expect cost along trajectory result policy enhances quality exploration early learning process consequently allow fast convergence rate robust solution even presence noisy data demonstrate comparison popular algorithms q learn double q learn entropy regularize soft q learn framework extends class parameterized mdp rl problem state action parameter dependent objective determine optimal parameter along correspond optimal policy associate cost function possibly non convex multiple poor local minimum simulation result apply g small cell network problem demonstrate successful determination communication rout small cell location also obtain sensitivity measure problem parameter robustness noisy environment data', 'reinforcement learn rl provide appeal formalism learn control policy experience however classic active formulation rl necessitate lengthy active exploration process behavior make difficult apply real world setting robotic control instead allow rl algorithm effectively use previously collect data aid online learn process application could make substantially practical prior data would provide start point mitigates challenge due exploration sample complexity online training enables agent perfect desire skill prior data could either constitute expert demonstration sub optimal prior data illustrates potentially useful transition number prior method either use optimal demonstration bootstrap rl use sub optimal data train purely offline remain exceptionally difficult train policy offline data actually continue improve online rl paper analyze problem challenge propose algorithm combine sample efficient dynamic program maximum likelihood policy update provide simple effective framework able leverage large amount offline data quickly perform online fine tune rl policy show method advantage weight actor critic awac enable rapid learn skill combination prior demonstration data online experience demonstrate benefit simulate real world robotics domains include dexterous manipulation real multi finger hand drawer opening robotic arm rotate valve result show incorporating prior data reduce time require learn range robotic skill practical time scale']",80265
0,1581,0_adversarial example_defense_perturbation_adversarial attack,"['adversarial example', 'defense', 'perturbation', 'adversarial attack', 'adversarial training', 'adversarial', 'attack', 'adversarial perturbation', 'adversarial robustness', 'box attack']","['recent development field deep learning expose underlying vulnerability deep neural network dnn adversarial example image classification adversarial example carefully modify image visually imperceptible original image cause dnn model misclassify training network gaussian noise effective technique perform model regularization thus improve model robustness input variation inspire classical method explore utilize regularization characteristic noise injection improve dnn robustness adversarial attack work propose parametric noise injection pni involve trainable gaussian noise injection layer either activation weight solve min max optimization problem embed adversarial training parameter train explicitly achieve improve robustness best knowledge first work use trainable noise injection improve network robustness adversarial attack rather manually configure inject noise level cross validation extensive result show proposed pni technique effectively improve robustness variety powerful white box black box attack pgd c w fgsm transferable attack zoo attack last least pni method improve clean perturb data accuracy comparison state art defense method outperform current unbroken pgd defense clean test data perturb test data respectively use resnet architecture', 'recent research prove deep neural network dnns vulnerable adversarial example legitimate input add imperceptible well design perturbation fool dnns easily test stage however exist adversarial attack difficult fool adversarially trained model solve issue propose adabelief iterative fast gradient sign method ab fgsm generalize adversarial example integrate adabelief optimization algorithm fgsm believe generalization adversarial example improve rely strong generalization adabelief optimizer validate effectiveness transferability adversarial example generate propose ab fgsm conduct white box black box attack various single model ensemble model compare state art attack method propose method generate adversarial example effectively white box set transfer rate high late attack method', 'vulnerability deep neural network dnns adversarial attack attack mislead state art classifier make incorrect classification high confidence deliberately perturb original input raise concern robustness dnns attack adversarial training main heuristic method improve adversarial robustness first line defense adversarial attack require many sample sample calculation increase train size usually insufficiently strong entire network paper provide new perspective issue adversarial robustness one shift focus network whole critical part region close decision boundary correspond give class perspective propose method generate single image agnostic adversarial perturbation carry semantic information imply direction fragile part decision boundary cause input misclassified specified target call adversarial training base perturbation region adversarial training rat resemble classical adversarial training distinguish reinforces semantic information miss relevant region experimental result mnist cifar datasets show approach greatly improve adversarial robustness even use small dataset training data moreover defend fgsm adversarial attack completely different pattern model see retrain']",80265
1,862,1_arm_bandit_arm bandit_multi arm,"['arm', 'bandit', 'arm bandit', 'multi arm', 'regret', 'contextual bandit', 'thompson', 'thompson sample', 'ucb', 'best arm']","['many real world application combinatorial bandit content cache reward must maximize satisfy minimum service requirement addition base arm availability vary time action need adapt situation maximize reward propose new bandit model call contextual combinatorial volatile bandit group thresholds address challenge model subsumes combinatorial bandit consider super arm subset group base arm seek maximize super arm reward satisfy threshold base arm group constitute super arm end define new notion regret merge super arm reward maximization group reward satisfaction facilitate learning assume mean outcome base arm sample gaussian process indexed context set cal x expect reward lipschitz continuous expect base arm outcome propose algorithm call thresholded combinatorial gaussian process upper confidence bound tcgp ucb balance maximize cumulative reward satisfy group reward threshold prove incurs tilde k sqrt overline gamma regret high probability overline gamma maximum information gain associate set base arm context appear first round k maximum super arm cardinality feasible action round show experiment algorithm accumulates reward comparable state art combinatorial bandit algorithm pick action whose group satisfy threshold', 'influence maximization adaptive rout dynamic spectrum allocation require choose right action large set alternative thanks advance combinatorial optimization many similar problem efficiently solve give environment know stochasticity paper take one step focus combinatorial optimization unknown environment consider general learning framework call combinatorial multi arm bandit probabilistically trigger arm powerful bayesian algorithm call combinatorial thompson sample ct semi bandit feedback model assume access oracle without know expected base arm outcome beforehand show expect reward lipschitz continuous expect base arm outcomes cts achieves sum log p delta regret max mathbb e sqrt log p mathbb e p bayesian regret denote number base arm p delta denote minimum non zero trigger probability minimum suboptimality gap base arm respectively denote time horizon p denote overall minimum non zero trigger probability also show expect reward satisfies trigger probability modulate lipschitz continuity cts achieve max sqrt log bayesian regret trigger probability non zero base arm cts achieves p log p regret independent time horizon finally numerically compare ct algorithms base upper confidence bound several network problem show cts outperforms algorithm least order magnitude majority case', 'multi arm bandit mab model sequential decision make problem learner sequentially choose arm unknown reward distribution order maximize cumulative reward prior work mab assume reward distribution arm independent wide variety decision problem drug dosage dynamic pricing expect reward different arm correlate select one arm provide information expect reward arm well propose analyze class model decision problem call em global bandit case reward arm deterministic function single unknown parameter construct greedy policy achieve em bound regret bound depend single true parameter problem hence policy select suboptimal arm finitely many time probability one case also obtain bound regret em independent true parameter bound sub linear exponent depend informativeness arm also propose variant greedy policy achieve tilde mathcal sqrt bad case mathcal parameter dependent regret finally perform experiment dynamic pricing show propose algorithms achieve significant gain respect well know benchmark']",80265
2,752,2_causal_treatment_treatment effect_causal effect,"['causal', 'treatment', 'treatment effect', 'causal effect', 'causal inference', 'observational', 'causal discovery', 'confounders', 'dag', 'confound']","['truth universally acknowledge observe association without know mechanism must want causal estimate however causal estimation observational data often rely untestable assumption unobserved confounding violation assumption induce bias effect estimate principle bias could invalidate reverse conclusion study however case might hope influence unobserved confounders weak relative large estimate effect qualitative conclusion robust bias unobserved confound purpose paper develop emph austen plot sensitivity analysis tool aid judgment make easy reason potential bias induce unobserved confounding formalize confounding strength term strongly confounder influence treatment assignment outcome target level bias austen plot show minimum value treatment outcome influence require induce level bias domain expert make subjective judgment whether strong confounders plausible aid judgment austen plot additionally display estimate influence strength group observe covariates austen plot generalize classic sensitivity analysis approach imbens imb critically austen plot allow approach model observe data produce initial estimate illustrate tool assess bias several real causal inference problem use variety machine learn approach initial data analysis code available http github com anishazaveri austen plot', 'learn causal effect observational data greatly benefit variety domains health care education sociology instance one could estimate impact new drug specific individual assist clinic plan improve survival rate paper focus study problem estimate conditional average treatment effect cate observational data challenge problem two fold one hand derive causal estimator estimate causal quantity observational data exists confound bias hand deal identification cate distribution covariates treatment control group imbalanced overcome challenge propose neural network framework call adversarial balancing base representation learn causal effect inference abcei base recent advance representation learn ensure identification cate abcei use adversarial learn balance distribution covariates treatment control group latent representation space without assumption form treatment selection assignment function addition representation learn balance process highly predictive information original covariate space might lose abcei tackle information loss problem preserve useful information predict causal effect regularization mutual information estimator experimental result show abcei robust treatment selection bias match outperform state art approach experiment show promising result several datasets represent different health care domains among others', 'convenient access observational data enables u learn causal effect without randomized experiment research direction draw increase attention research area economics healthcare education example study medicine treatment causally affect health condition outcome patient use exist electronic health record validate causal effect learn observational data control confound bias influence variable causally influence treatment outcome exist work along line overwhelmingly rely unconfoundedness assumption exist unobserved confounders however assumption untestable even untenable fact important fact ignore majority previous work observational data come network information utilize infer hidden confounders example observational study individual level treatment effect medicine instead randomize experiment medicine often assign individual base series factor factor e g socioeconomic status challenge measure therefore become hidden confounders fortunately socioeconomic status individual reflect connect social network fact mind aim exploit network information recognize pattern hidden confounders would allow u learn valid individual causal effect observational data work propose novel causal inference framework network deconfounder learn representation unravel pattern hidden confounders network information empirically perform extensive experiment validate effectiveness network deconfounder various datasets']",80265
3,737,3_point cloud_lidar_cloud_shape,"['point cloud', 'lidar', 'cloud', 'shape', 'mesh', 'monocular', 'scene', 'depth', 'kitti', 'depth estimation']","['real scan point cloud often incomplete due viewpoint occlusion noise exist point cloud completion method tend generate global shape skeleton hence lack fine local detail furthermore mostly learn deterministic partial complete mapping overlook structural relation man make object tackle challenge paper propose variational framework variational relational point completion network vrcnet two appeal property probabilistic model particular propose dual path architecture enable principled probabilistic modeling across partial complete cloud one path consume complete point cloud reconstruction learn point vae path generates complete shape partial point cloud whose embedded distribution guide distribution obtain reconstruction path train relational enhancement specifically carefully design point self attention kernel point selective kernel module exploit relational point feature refine local shape detail condition coarse completion addition contribute multi view partial point cloud dataset mvp dataset contain high quality scan render partial shape uniformly distribute camera pose cad model extensive experiment demonstrate vrcnet outperforms state theart method standard point cloud completion benchmarks notably vrcnet show great generalizability robustness real world point cloud scan', 'estimate motion camera together structure scene monocular vision system complex task often rely call scene rigidity assumption observe dynamic environment assumption violate lead ambiguity ego motion camera motion object solve problem present self supervise learn framework object motion field estimation monocular videos contribution two fold first propose two stage projection pipeline explicitly disentangle camera ego motion object motion dynamic attention module call dam specifically design integrated motion model estimate motion camera object first second warping stage respectively control attention module share motion encoder second propose object motion field estimation contrastive sample consensus call csac take advantage weak semantic prior bound box object detector geometric constraint object respect rigid body motion model experiment kitti cityscape waymo open dataset demonstrate relevance approach show method outperforms state art algorithm task self supervise monocular depth estimation object motion segmentation monocular scene flow estimation visual odometry', 'work target learnable output representation allow continuous high resolution output arbitrary shape recent work represent surface implicitly neural network thereby break previous barrier resolution ability represent diverse topology however neural implicit representation limit closed surface divide space inside outside many real world object wall scene scan sensor clothing car inner structure close constitutes significant barrier term data pre processing object need artificially close create artifact ability output open surface work propose neural distance field ndf neural network base model predicts unsigned distance field arbitrary shape give sparse point cloud ndf represent surface high resolution prior implicit model require closed surface data significantly broaden class representable shape output ndf allow extract surface dense point cloud mesh also show ndf allow surface normal calculation render use slight modification sphere trace find ndf use multi target regression multiple output one input technique exclusively use render graphic experiment shapenet show ndf simple state art allow reconstruct shape inner structure chair inside bus notably show ndf restrict shape approximate general open surface curve manifold function code available research http virtualhumans mpi inf mpg de ndf']",80265
4,720,4_item_recommendation_user item_recommender,"['item', 'recommendation', 'user item', 'recommender', 'collaborative filtering', 'rating', 'user preference', 'collaborative', 'session', 'base recommendation']","['recommender system cold start issue situation previous event e g rating know certain user item paper focus item cold start problem content information e g item attribute initial user rating valuable seize user preference new item however previous method item cold start problem either incorporate content information collaborative filtering perform hybrid recommendation actively select user rate new item without consider content information collaborative filtering paper propose novel recommendation scheme item cold start problem leverage active learn item attribute information specifically design useful user selection criterion base item attribute user rating history combine criterion optimization framework select user exploit feedback rating user previous rating item attribute generate accurate rating prediction unselected user experimental result two real world datasets show superiority propose method traditional method', 'cross domain recommender system constitute powerful method tackle cold start sparsity problem aggregate transfer user preference across multiple category domain therefore great potential improve click rate prediction performance online commerce platform many domain product several cross domain sequential recommendation model propose leverage information source domain improve ctr prediction target domain take account bidirectional latent relation user preference across source target domain pair cannot provide enhance cross domain ctr prediction domains simultaneously paper propose novel approach cross domain sequential recommendation base dual learning mechanism simultaneously transfer information two related domain iterative manner learn process stabilizes particular propose dual attentive sequential learn dasl model consist two novel component dual embed dual attention jointly establish two stage learn process first construct dual latent embeddings extract user preference domains simultaneously subsequently provide cross domain recommendation match extracted latent embeddings candidate item dual attention learn mechanism conduct extensive offline experiment three real world datasets demonstrate superiority propose model significantly consistently outperform several state art baseline across experimental setting also conduct online b test major video stream platform alibaba youku propose model significantly improve business performance late production system company', 'cold start problem recommender system long stand challenge require recommend new user item base attribute without historical interaction record recommendation system warm user item privilege collaborative signal interaction record compare cold start user item collaborative filter cf signal show compete performance recommendation many researcher propose learn correlation collaborative signal embed space attribute embed space improve cold start recommendation user item categorical attribute available many online platform however cold start recommendation still limit two embed space model simple assumption space transformation user item interaction behavior user item attribute naturally form heterogeneous graph structure paper propose privilege graph distillation model pgd teacher model compose heterogeneous graph structure warm user item privilege cf link student model compose entity attribute graph without cf link specifically teacher model learn well embeddings entity inject complex high order relationship construct heterogeneous graph student model learn distil output privilege cf embeddings teacher embeddings propose model generally applicable different cold start scenario new user new item new user new item finally extensive experimental result real world datasets clearly show effectiveness propose model different type cold start problem average improvement state art baseline three datasets respectively']",80265
5,667,5_fairness_fair_sensitive attribute_discrimination,"['fairness', 'fair', 'sensitive attribute', 'discrimination', 'unfairness', 'algorithmic fairness', 'fairness metric', 'bias', 'protect attribute', 'group fairness']","['study fairness supervise shot meta learn model sensitive discrimination bias historical data machine learn model train base bias data tends make unfair prediction user minority group although problem study exist method mainly aim detect control dependency effect protect variable e g race gender target prediction base large amount training data approach carry two major drawback lack show global cause effect visualization variable lack generalization accuracy fairness unseen task work first discover discrimination data use causal bayesian knowledge graph demonstrate dependency protect variable target also indicate causal effect variable next develop novel algorithm base risk difference order quantify discriminatory influence protect variable graph furthermore protect prediction unfairness fast adapted bias control approach meta learn propose efficiently mitigate statistical disparity task thus ensure independence protect attribute prediction base bias shot data sample distinct exist meta learn model group unfairness task efficiently reduce leverage mean difference un protect group regression problem extensive experiment synthetic real world data set demonstrate propose unfairness discovery prevention approach efficiently detect discrimination mitigate bias model output well generalize accuracy fairness unseen task limited amount training sample', 'bias evaluation machine learn base service ml base traditional algorithmic fairness notion rely comparative principle practically difficult make necessary rely human auditor feedback however spite take rigorous train various comparative fairness notion human auditor know disagree various aspect fairness notion practice make difficult collect reliable feedback paper offer paradigm shift domain algorithmic fairness via propose new fairness notion base principle non comparative justice contrary traditional fairness notion outcomes two individual group compare propose notion compare mls outcome desire outcome input desire outcome naturally describe human auditor expectation easily use evaluate ml crowd audit platform show mls deem fair perspective comparative fairness term individual fairness statistical parity equal opportunity calibration non comparatively fair respect fair auditor also show converse hold true context individual fairness give evaluation relies trustworthiness auditor also present approach identify fair reliable auditor estimate bias respect give set sensitive attribute well quantify uncertainty estimation bias within give ml furthermore result also validate compas german credit adult census income datasets', 'widespread use ml base decision make domain high societal impact recidivism job hire loan credit raise lot concern regard potential discrimination particular certain case observe ml algorithms provide different decision base sensitive attribute gender race therefore lead discrimination although several fairness aware ml approach propose focus largely preserve overall classification accuracy improve fairness prediction protect non protect group define base sensitive attribute overall accuracy however good indicator performance case class imbalance bias towards majority class see experiment many fairness related datasets suffer class imbalance therefore tackle fairness require also tackle imbalance problem end propose adafair fairness aware classifier base adaboost updates weight instance boost round take account cumulative notion fairness base upon current ensemble member explicitly tackle class imbalance optimize number ensemble member balance classification error experiment show approach achieve parity true positive true negative rate protect non protect group significantly outperform exist fairness aware method term balance error']",80265
6,653,6_ehr_patient_health record_electronic health,"['ehr', 'patient', 'health record', 'electronic health', 'icu', 'mortality', 'health', 'electronic', 'clinical', 'care']","['report development validation data driven real time risk score provide timely assessment clinical acuity ward patient base temporal lab test vital sign allow timely intensive care unit icu admission unlike exist risk score technology propose score individualized use electronic health record ehr data cluster patient base static covariates subcohorts similar patient learns separate temporal non stationary multi task gaussian process gp model capture physiology every subcohort experiment conduct data heterogeneous cohort patient admit ronald reagan ucla medical center show risk score significantly outperforms state art risk score technology rothman index mew term timeliness true positive rate tpr positive predictive value ppv particular propose score increase auc compare rothman index mew respectively predict icu admission hour clinician ppv tpr moreover show propose risk score allow good decision discharge clinically stable patient ward thereby improve efficiency hospital resource utilization', 'intensive care clinician need reliable clinical practice tool preempt unexpected critical event might harm patient intensive care unit icu pre plan timely intervention keep patient family well informed conventional statistical model build curating limited number key variable mean vast unknown amount potentially precious data remains unused deep learning model dlms leverage learn large complex datasets construct predictive clinical tool retrospective study perform use hospital admission involve patient subset mimic iii dataset natural language processing nlp technique apply build dlms predict hospital mortality ihm length stay day los million event across multiple data source process result million token dlms predict ihm use data source chart data c achieve auc roc respectively pr auc respectively dlms predict los use c achieve auc roc respectively pr auc respectively observe auc roc difference model find significant ihm los p observe pr auc difference model find significant ihm statistically insignificant los p study deep learning model construct use data combine variety source electronic health record ehrs chart data input output event laboratory value microbiology event procedure note prescription possible predict hospital mortality much good confidence high reliability model build use source data', 'early hospital mortality prediction critical intensivists strive make efficient medical decision severely ill patient stay intensive care unit result various method develop address problem base clinical record however laboratory test result time consume need process paper propose novel method predict mortality use feature extract heart signal patient within first hour icu admission order predict risk quantitative feature compute base heart rate signal icu patient signal described term statistical signal base feature extract feature feed eight classifier decision tree linear discriminant logistic regression support vector machine svm random forest boost tree gaussian svm k near neighborhood k nn derive insight performance propose method several experiment conduct use well know clinical dataset name medical information mart intensive care iii mimic iii experimental result demonstrate capability propose method term precision recall f score area receiver operate characteristic curve auc decision tree classifier satisfies accuracy interpretability good classifier produce f score auc equal respectively indicate heart rate signal use predict mortality patient icu achieve comparable performance exist prediction rely high dimensional feature clinical record need process may contain miss information']",80265
7,639,7_gans_gan_discriminator_generator,"['gans', 'gan', 'discriminator', 'generator', 'network gans', 'generative adversarial', 'adversarial network', 'mode collapse', 'gan train', 'gin']","['investigate use parametrized family information theoretic measure generalize loss function generative adversarial network gans objective improve performance new generator loss function call least k th order gan l k gan first introduce generalize least square gans lsgans use k th order absolute error distortion measure k geq recovers lsgan loss function k show minimize generalized loss function unconstrained optimal discriminator equivalent minimize k th order pearson vajda divergence another novel gan generator loss function next propose term r e nyi cross entropy functionals order alpha alpha neq demonstrate r e nyi centric generalize loss function provably reduce original gan loss function alpha preserve equilibrium point satisfy original gan base jensen r e nyi divergence natural extension jensen shannon divergence experimental result indicate propose loss function apply mnist celeba datasets dcgan stylegan architecture confer performance benefit virtue extra degree freedom provide parameter k alpha respectively specifically experiment show improvement regard quality generate image measure fr echet inception distance fid score train stability apply gans study propose approach generic use application information theory deep learning e g issue fairness privacy artificial intelligence', 'generative adversarial network gans revolutionary class deep neural network dnns successfully use generate realistic image music text data however gan train present many challenge notably resource intensive potential weakness gans require lot data successful training data collection expensive process typically corrective feedback discriminator dnns generator dnns namely discriminator assessment generate example calculate use one real numbered value loss contrast propose new class gan refer xai gan leverage recent advance explainable ai xai system provide rich form corrective feedback discriminator generator specifically modify gradient descent process use xai system specify reason discriminator make classification thus provide richer corrective feedback help generator good fool discriminator use approach observe xai gans provide improvement quality generate image mnist fmnist datasets standard gans measure fr echet inception distance fid compare xai gan train data standard gan train data cifar dataset find xai gan still show improvement fid score compare work differentiable augmentation show make gans data efficient show xai gans outperform gans train differentiable augmentation moreover technique combine produce even good result finally argue xai gan enable user great control model learn standard gans', 'propose paper novel approach tackle problem mode collapse encounter generative adversarial network gan idea intuitive proven effective especially address key limitation gin essence combine kullback leibler kl reverse kl divergence unify objective function thus exploit complementary statistical property divergence effectively diversify estimate density capture multi mode term method dual discriminator generative adversarial net gin unlike gan two discriminator together generator also analogy minimax game wherein discriminator reward high score sample data distribution whilst another discriminator conversely favor data generator generator produce data fool two discriminator develop theoretical analysis show give maximal discriminator optimize generator gan reduces minimize kl reverse kl divergence data distribution distribution induce data generate generator hence effectively avoid mode collapse problem conduct extensive experiment synthetic real world large scale datasets mnist cifar stl imagenet make best effort compare gan late state art gan variant comprehensive qualitative quantitative evaluation experimental result demonstrate competitive superior performance approach generate good quality diverse sample baseline capability method scale imagenet database']",80265
8,624,8_decentralize_communication_distribute_sgd,"['decentralize', 'communication', 'distribute', 'sgd', 'asynchronous', 'worker', 'distribute optimization', 'gossip', 'communication cost', 'local sgd']","['consider decentralize stochastic optimization problem network agent own local cost function cooperate find minimizer global average cost widely study decentralize algorithm problem sgd node applies stochastic gradient descent step average estimate neighbor sgd attractive due efficient single iteration communication achieve linear speedup convergence term network size however sgd sensitive network topology smooth objective function transient stage measure fast algorithm reach linear speedup stage sgd order n beta n beta strongly convex generally convex cost function respectively beta topology dependent quantity approach large sparse network hence sgd suffers slow convergence large sparse network work study non asymptotic convergence property exact diffusion algorithm eliminate influence data heterogeneity node exact diffusion show enhanced transient stage order n beta n beta strongly convex generally convex cost function respectively moreover provide low bound transient stage sgd homogeneous data distribution coincide transient stage exact diffusion strongly convex set result show removing influence data heterogeneity ameliorate network topology dependence sgd compare exist decentralize algorithms bound exact diffusion least sensitive network topology', 'due high communication cost distribute federate learn problem method rely compression communicate message become increasingly popular context best perform gradient type method invariably rely form acceleration momentum reduce number iteration method combine benefit gradient compression acceleration paper remedy situation propose first accelerate compressed gradient descent acgd method single machine regime prove acgd enjoys rate big omega sqrt frac l mu log frac epsilon big mu strongly convex problem big omega sqrt frac l epsilon big convex problem respectively omega compression parameter result improve upon exist non accelerate rate big omega frac l mu log frac epsilon big big omega frac l epsilon big respectively recover optimal rate accelerate gradient descent special case compression omega apply propose distribute variant acgd call adiana prove convergence rate widetilde big omega sqrt frac l mu sqrt big frac omega n sqrt frac omega n big frac omega l mu big n number device worker widetilde hide logarithmic factor log frac epsilon improve upon previous best result widetilde big omega frac l mu frac omega l n mu big achieve diana method mishchenko et al finally conduct several experiment real world datasets corroborate theoretical result confirm practical superiority accelerate method', 'standard approach large scale machine learning distribute stochastic gradient training require computation aggregate stochastic gradient multiple node network communication major bottleneck application recent year compress stochastic gradient method qsgd quantize sgd sparse sgd propose reduce communication also show error compensation combine compression achieve good convergence scheme node compress local stochastic gradient broadcast result node network single pas however single pas broadcast approach realistic many practical implementation example popular parameter server model distribute learning worker node need send compressed local gradient parameter server performs aggregation parameter server compress aggregate stochastic gradient send back worker node work provide detail analysis two pas communication model asynchronous parallel variant error compensate compression worker node parameter server show error compensate stochastic gradient algorithm admits three nice property compatible emph arbitrary compression technique admit improve convergence rate non error compensate stochastic gradient method qsgd sparse sgd admits linear speedup respect number worker empirical study also conduct validate theoretical result']",80265
