Topic,Count,Name,Representation,Representative_Docs,Total
-1,1937,-1_agent_knowledge_learn_base,"['agent', 'knowledge', 'learn', 'base', 'logic', 'reason', 'application', 'uncertainty', 'decision', 'probability']","['notion class ubiquitous computer science central many formalism representation structure knowledge use knowledge representation databases paper study basic issue underlie representation formalism single common characteristic distinguish feature investigation lead u propose unifying framework able capture fundamental aspect several representation language use different context propose formalism express style description logic introduce knowledge representation mean provide semantically well founded basis structural aspect knowledge representation system description logic consider paper subset first order logic nice computational characteristic quite expressive feature novel combination construct study distinguish construct number restriction generalize existence functional dependency inverse role allow one refer inverse relationship possibly cyclic assertion necessary capture real world domains able show precisely combination construct make logic powerful enough model essential set feature define class structure common frame system object oriented database languages semantic data model consequence establish correspondence several significant extension formalisms become available high expressiveness logic propose need capture reason different context force u distinguish unrestricted finite model reason notable feature proposal reason case decidable argue virtue high expressive power associate reason capability unrestricted finite model logic provide common core class base representation formalism', 'traditional ai reason technique use successfully many domain include logistics scheduling game play paper part project aim investigate technique extend coordinate team unman aerial vehicle uavs dynamic environment specifically challenge real world environment uavs network enable device must communicate coordinate communication action neither reliable free network centric environment common military public safety commercial application yet research even multi agent plan usually take communication among distributed agent give address challenge develop agent architecture reason algorithm base answer set program asp asp choose task enables high flexibility representation knowledge reason task although asp use successfully number application asp base architecture study decade best knowledge first practical application complete asp base agent architecture also first practical application asp involve combination centralize reason decentralize reason execution monitoring reason network communication work empirically validate use distributed network centric software evaluation testbed result provide guidance designer understand control intelligent system operate environment', 'diagrammatic reason dr pervasive human problem solve powerful adjunct symbolic reason base language like representation research report paper contribution build general purpose dr system extension soar like problem solve architecture work framework dr model process subtasks solve appropriate either inference symbolic representation interaction diagram e perceive specify information diagram modifying create object diagram specify way accord problem solve need perception action dr system build far hand cod specific application even rest system build use general architecture absence general framework execute perception action pose major hindrance use opportunistically essence open end search problem solve goal develop framework execute wide variety specify perception action across task domain without human intervention observe domain task specific visual perception action transform domain task independent spatial problem specify spatial problem quantify constraint satisfaction problem real domain use open end vocabulary property relation action involve three kind diagrammatic object point curve region solve spatial problem specification require compute equivalent simplify quantifier free expression complexity inherently doubly exponential represent object configuration simple element facilitate decomposition complex problem simpler similar subproblems show symbolic solution subproblem express concisely quantifier eliminate spatial problem low order polynomial time use similar previously solve subproblems require determine similarity two problem existence map computable polynomial time design memory store previously solve problem facilitate search efficacy idea show time complexity analysis demonstrate propose approach execute perception action involve dr task two army application']",5563
0,377,0_image_brain_intelligence_recognition,"['image', 'brain', 'intelligence', 'recognition', 'human', 'neuron', 'cognitive', 'face', 'neural', 'object']","['paper summarize effort computationally model two transition evolution human creativity origins two million year ago big bang creativity year ago use computational model cultural evolution neural network base agent evolve idea action invention imitation test hypothesis human creativity begin onset capacity recursive recall compare run agent limited single step action run used recursive recall chain simple action complex one chain result high diversity open end novelty ceiling mean fitness action great ability make use learning use computational model portrait paint test hypothesis explosion creativity middle upper paleolithic due onset con textual focus capacity shift associative analytic thought result faster convergence portrait resemble sitter employ painterly technique rat preferable conclude recursive recall contextual focus provide computationally plausible explanation human evolve mean transform planet', 'gesture recognition mainly apprehensive analyze functionality human wits main goal gesture recognition create system recognize specific human gesture use convey information device control hand gesture provide separate complementary modality speech express one idea information associate hand gesture conversation degree discourse structure spatial temporal structure approach present mainly divide data glove base vision base approach important face feature point nose tip since nose high protrude point face besides affected facial expression another important function nose able indicate head pose knowledge nose location enable u align unknown face face database eye detection divide eye position detection eye contour detection exist work eye detection classify two major category traditional image base passive approach active ir base approach former us intensity shape eye detection latter work assumption eye reflection near ir illumination produce bright dark pupil effect traditional method broadly classify three category template base method appearance base method feature base method purpose paper compare various human gesture recognition system interfacing machine directly human wit without corporeal medium ambient environment', 'sp theory intelligence aim simplify integrate concept compute cognition information compression unify theme article discusses may apply understand natural vision development computer vision theory describe quite fully elsewhere describe outline enough detail ensure rest article make sense low level perceptual feature edge corner may identify extraction redundancy uniform area manner comparable run length encode technique information compression concept multiple alignment sp theory may apply recognition object scene analysis hierarchy part sub part multiple level abstraction theory potential unsupervised learn visual object class object suggest coherent concept may derive fragment natural vision recognition learn sp system robust face error omission commission substitution theory suggest via vision may piece together knowledge three dimensional structure object environment provide account may see thing objectively present image recognise something despite variation size retinal image thing say phenomena lightness constancy colour constancy role context recognition ambiguity visual perception strength sp theory provide integration vision sensory modality aspects intelligence']",5563
1,362,1_constraint_sit_solver_sat,"['constraint', 'sit', 'solver', 'sat', 'symmetry', 'clause', 'constraint satisfaction', 'consistency', 'instance', 'csp']","['verification optimal ai plan successful method formulate application boolean satisfiability sit solve state art dpll base procedure lack understand work well focussing plan context identify form problem structure concern symmetrical asymmetrical nature cost achieve individual planning goal quantify sort structure simple numeric parameter call asymratio range run experiment benchmark domains international planning competition since show asymratio good indicator sit solver performance domain examine carefully craft synthetic planning domain allow control amount structure clean enough rigorous analysis combinatorial search space domains parameterized size amount structure cnfs examine unsatisfiable encode one plan step less length optimal plan prove upper low bound size best possible dpll refutation different setting amount structure function size also identify best possible set branch variable backdoor minimum asymratio prove exponential low bound identify minimal backdoor size linear number variable maximum asymratio identify logarithmic dpll refutation backdoor show doubly exponential gap two structural extreme case reason behavior proof argument illuminate prototypical pattern structure cause empirical behavior observe competition benchmark', 'many combinatorial problem deal preference violation goal find solution minimum cost weight constraint satisfaction framework model problem consist set cost function measure degree violation preference different combination variable assignment typical solution method weight constraint satisfaction problem wcsps base branch bound search make practical use powerful consistency technique ac fdac edac deduce hide cost information value prune search technique however design efficient binary ternary cost function represent table form tackle many real life problem high arity global cost function require investigate efficient representation scheme algorithm bring benefit consistency technique also high arity cost function often derive hard global constraint classical constraint satisfaction literature suggest global cost function represent flow network minimum cost flow algorithm use compute minimum cost networks polynomial time show naive adoption flow base algorithmic method global cost function result strong form null inverse consistency show method modify handle cost projection extension maintain generalized version ac fdac cost function two variable similar generalization strong edac less straightforward reveal oscillation problem enforce edac cost function share one variable avoid oscillation propose weak version edac generalize weak edgac non binary cost function use various benchmark involve soft variant hard global constraint alldifferent gcc regular empirical result demonstrate proposal give improvement order magnitude compare traditional constraint optimization approach term time prune', 'code optimization high level synthesis pose constraint satisfaction optimization problem graph color use register allocation graph coloring also use model traditional csps relevant ai plan time table schedule provably optimal solution may desirable commercial defense application additionally application register allocation code optimization naturally occur instance graph color often small solve optimally recent wave improvement algorithms boolean satisfiability sit integer linear programming ilp suggest generic problem reduction method rather problem specific heuristic heuristic may upset new constraint heuristic tend ignore structure many relevant problem provably inapproximable problem reduction often lead highly symmetric sat instance symmetry know slow sat solver work compare several avenue symmetry break particular certain kind symmetry present generated instance focus reduce csps sit allow u leverage recent dramatic improvement sit solver automatically benefit future progress use variety black box sit solver without modify source code symmetry break technique static e detect symmetry add symmetry break predicate sbps pre processing important result work among type instance independent sbps study combination simple least complete construction effective experiment also clearly indicate instance independent symmetry mostly process together instance specific symmetry rather specification level contrary suggest literature']",5563
2,263,2_ontology_web_semantic_semantic web,"['ontology', 'web', 'semantic', 'semantic web', 'owl', 'rdf', 'service', 'query', 'description logic', 'description']","['datalog one best know rule base language extension use wide context application important datalog extension disjunctive datalog significantly increase expressivity basic language disjunctive datalog useful wide range application range database e g data integration artificial intelligence e g diagnosis plan incomplete knowledge however recent year important shortcoming datalog base language become evident e g context data integration consistent query answer ontology base data access semantic web application language permit generation reason unnamed individual obvious way general weak support many case existential quantification overcome problem datalogex recently propose extends traditional datalog existential quantification rule head work propose natural extension disjunctive datalog datalogex call datalogexor allow disjunction existential quantification rule head therefore attractive language knowledge representation reason especially domains ontology base reason need formally define syntax semantics language datalogexor provide notion instantiation prove adequate datalogexor main issue datalogex hence also datalogexor decidability longer guarantee typical reasoning task order address issue identify many decidable fragment language extend natural way analog class define non disjunctive case moreover carry depth complexity analysis derive interesting result range logarithmic space exponential time', 'hybrid mknf knowledge base one prominent tightly integrated combination open world ontology language close world non monotonic rule paradigm definition hybrid mknf parametric description logic dl underlie ontology language sense non monotonic rule extend decidable dl language two related semantics define hybrid mknf one base stable model semantics logic program one well founded semantics wfs wfs definition hybrid mknf relies bottom computation polynomial data complexity whenever dl language tractable define general query driven procedure hybrid mknf sound respect stable model base semantics sound complete respect wfs variant procedure able answer slightly restrict form conjunctive query base tabled rule evaluation extend external oracle capture reason within ontology abstract oracle receive input query along knowledge already derive reply possibly empty set atom define rule whose truth would suffice prove initial query appropriate assumption complexity abstract oracle general procedure maintain data complexity wfs hybrid mknf knowledge base illustrate approach provide concrete oracle el fragment light weight dl el oracle practical use el language underlie owl el part w c recommendation semantic web tractable reason task subsumption show query drive hybrid mknf preserve polynomial data complexity use el oracle wfs', 'one key challenge electronic government e government development system easily integrate interoperated provide seamless service delivery citizens recent year semantic web technology base ontology emerged promising solution engineering problem however current research practice semantic development e government focus application available methodology platform develop government domain ontology furthermore research provide detailed guideline develop semantic ontology model government service domain research present case study combine ontology build methodology two state art semantic web platform namely protege java jena ontology api semantic ontology development e government firstly framework adopt uschold king ontology build methodology employ build domain ontology describe semantic content government service domain thereafter uml use semi formally represent domain ontology finally protege jena api employ create web ontology language owl resource description framework rdf representation domain ontology respectively enable computer processing study aim provide e government developer particularly develop world detail guideline practice semantic content development e government project strengthen adoption semantic technology e government study would also interest novice semantic web developer might use start point investigation']",5563
3,255,3_bayesian network_network_belief network_bayesian,"['bayesian network', 'network', 'belief network', 'bayesian', 'cutset', 'belief', 'bn', 'inference', 'exact', 'sample']","['map problem find probable instantiation set nvariables bayesian network give evidence map appear significantly hard problem relate problem compute probability evidence pr mpe special case map complexity map lack viable algorithm approximate map computation generally avoid practitioner paper investigate complexity map show map complete np also provide negative complexity result elimination base algorithm turn map remain hard even mpe pr easy show map npcomplete network restrict polytrees even effectively approximate approximation algorithm guarantee result investigate best effort approximation introduce generic map approximation framework one instantiation implement local search couple belief propagation bp approximate map show extract approximate evidence retraction information belief propagation allow u perform efficient local search allow map approximation even network complex even exactly solve easy problem compute pr mpe experimental result indicate use bp local search provide accurate map estimate many case', 'map problem find probable instantiation set variable give evidence map always perceive significantly hard related problem compute probability variable instantiation pr problem compute probable explanation mpe paper investigate complexity map bayesian network specifically show map complete np pp provide negative complexity result algorithms base variable elimination also show map remain hard even mpe pr become easy example show map np complete network restrict polytrees even effectively approximate give difficulty compute map exactly difficulty approximate map provide useful guarantee result approximation investigate best effort approximation introduce generic map approximation framework provide two instantiation framework one network amenable exact inference pr one network even exact inference hard allow map approximation network complex even exactly solve easy problem pr mpe experimental result indicate use approximation algorithm provide much good solution standard technique provide accurate map estimate many case', 'stochastic sample algorithms attractive alternative exact algorithms large bayesian network model observe perform poorly evidential reason extremely unlikely evidence address problem propose adaptive importance sample algorithm ai bn show promise convergence rate even extreme condition seem outperform exist sample algorithm consistently three source performance improvement two heuristic initialization importance function base theoretical property importance sample finite dimensional integral structural advantage bayesian network smooth learn method importance function dynamic weighting function combine sample different stage algorithm test performance ai bn algorithm along two state art general purpose sample algorithms likelihood weight fung chang shachter peot self importance sample shachter peot use test three large real bayesian network model available scientific community cpcs network pradhan et al pathfinder network heckerman horvitz nathwani andes network conati gertner vanlehn druzdzel evidence unlikely ais bn algorithm always perform well two algorithms majority test case achieve order magnitude improvement precision result improvement speed give desire precision even dramatic although unable report numerical result algorithms almost never achieve precision reach even first iteration ais bn algorithm']",5563
4,162,4_policy_mdps_markov decision_pomdps,"['policy', 'mdps', 'markov decision', 'pomdps', 'iteration', 'value function', 'value iteration', 'markov', 'mdp', 'pomdp']","['give markov decision process mdp n state totalnumber action study number iteration need bypolicy iteration pi algorithm converge optimal gamma discount policy consider two variation pi howard spi change action state positive advantage simplex pi change action state maximaladvantage show howard pi terminate leave frac gamma log leave frac gamma right right iteration improve factor log n result hansen etal simplex pi terminates leave frac nm gamma log leave frac gamma right right iteration improve factor log n result ye undersome structural property mdp consider bound thatare independent discount factor gamma quantity ofinterest bound tau tau r uniform state andpolicies respectively emph expected time spend transientstates emph inverse frequency visit recurrentstates give process start uniform distribution indeed show simplex pi terminates tilde leave n tau tau r right iteration extend arecent result deterministic mdps post ye tau le tau r le n particular show simplex pi isstrongly polynomial much large class mdps explain whysimilar result seem hard derive howard pi finally underthe additional restrictive assumption state space ispartitioned two set respectively state transient andrecurrent policy show howard pi andsimplex pi terminate tilde n tau n tau r iteration', 'paper address problem planning uncertainty large markov decision process mdps factor mdps represent complex state space use state variable transition model use dynamic bayesian network representation often allow exponential reduction representation size structure mdps complexity exact solution algorithm mdps grow exponentially representation size paper present two approximate solution algorithm exploit structure factor mdps use approximate value function represent linear combination basis function basis function involve small subset domain variable key contribution paper show basic operation algorithms perform efficiently close form exploit additive context specific structure factor mdp central element algorithm novel linear program decomposition technique analogous variable elimination bayesian network reduce exponentially large lp provably equivalent polynomial size one one algorithm use approximate linear program second approximate dynamic program dynamic programming algorithm novel use approximation base max norm technique directly minimize term appear error bound approximate mdp algorithms provide experimental result problem state demonstrate promising indication scalability approach compare algorithm exist state art approach show problem exponential gain computation time', 'consider infinite horizon discount optimal control problem formalize markov decision process focus several approximate variation policy iteration algorithm approximate policy iteration conservative policy iteration cpi natural adaptation policy search dynamic programming algorithm infinite horizon case psdp infty recently propose non stationary policy iteration nspi algorithms describe performance bound make comparison pay particular attention concentrability constant involve number iteration memory require analysis highlight follow point performance guarantee cpi arbitrarily well api api alpha come cost relative exponential frac epsilon increase number iteration psdp infty enjoy best world performance guarantee similar cpi within number iteration similar api contrary api require constant memory memory need cpi psdp infty proportional number iteration may problematic discount factor gamma close approximation error epsilon close show nspi algorithm allows make overall trade memory performance simulation scheme confirm analysis']",5563
5,154,5_causal_pearl_independence_variable,"['causal', 'pearl', 'independence', 'variable', 'effect', 'causality', 'causal effect', 'observational', 'cause', 'causation']","['direct acyclic graph use fruitfully represent causal strucures pearl however social science elsewhere model often use correspond causally statistically direct graph direct cycle spirtes pearl discuss predict effect intervention model kind call linear non recursive structural equation model raise question whether possible make inference causal structure cycle form sample data particular exist general informative feasible reliable precedures infer causal structure conditional independence relation among variable sample generate unknown causal structure paper present discovery algorithm correct large sample limit give commonly often implicitly make plausible assumption provide information existence non existence causal pathways one variable another algorithm polynomial sparse graph', 'assume cause effect relationship variable describe direct acyclic graph correspond linear structural equation model consider identification problem total effect presence latent variable selection bias treatment variable response variable pearl colleague provide back door criterion front door criterion pearl conditional instrumental variable method brito pearl identifiability criterion total effect presence latent variable presence selection bias order solve problem propose new graphical identifiability criterion total effect base identifiable factor model result paper useful identify total effect observational study provide new viewpoint identification condition factor model', 'causal inference algorithms literature e g pearl spirt et al heckerman et al exploit assumption usually refer causal faithfulness stability condition paper highlight two component condition use constraint base algorithm call adjacency faithfulness orientation faithfulness point assume adjacency faithfulness true principle possible test validity orientation faithfulness base observation explore consequence make adjacency faithfulness assumption show familiar pc algorithm modify asymptotically correct weak adjacency faithfulness assumption roughly modify algorithm call conservative pc cpc check whether orientation faithfulness hold orientation phase avoids draw certain causal conclusion pc algorithm would draw however strong standard causal faithfulness condition actually obtain cpc algorithm show output pattern pc algorithm large sample limit also present simulation study show cpc algorithm run almost fast pc algorithm output significantly few false causal arrowhead pc algorithm realistic sample size end paper discuss score base algorithms ge perform adjacency faithfulness standard causal faithfulness condition hold extend work fci algorithm allow possibility latent variable']",5563
6,105,6_probability_belief_plausibility_possibility,"['probability', 'belief', 'plausibility', 'possibility', 'uncertainty', 'reason', 'logic', 'proposition', 'probability logic', 'probabilistic']","['l enough evidence render sentence probable la relative know rational believe evidence may longer probable relative know rational believe seem perfectly ordinary common sense pair situation generally vaguely take embody shall call probabilistic inference form inference clearly non monotonic relatively people take form inference base high probability serve foundation non monotonic logic logical defeasible inference exception jane nutter think sometimes probability something non monotonic reason judea pearl recently explore possibility number people one might call probability enthusiast feel probability provide answer need help logic cheeseman henrion others think useful look distribution probability whole algebra statement update distribution light new evidence use late updated distribution probability algebra basis planning decision make slightly weak form approach capture nilsson one assume certain probability certain statement infers probability constraint probability statement none correspond call probabilistic inference inference take place either bayesian updating probabilistic logic strictly deductive deductive inference particularly concerned distribution classical probability chance great importance say important role earlier logician call ampliative inductive scientific inference conclusion go beyond premise assert premise depend david israel call real rule inference characteristic logic inference procedure go wrong statement accept one point may reject later point research underlie result report partially support signal warfare center united state army', 'probability theory epistemically interpret provide excellent best available account inductive reason general definite rule change subjective probability information experience induction belief change one topic basic rule simply conditionalize respect information receive similar general rule hence fundamental reason epistemological success probability theory exist well behave concept conditional probability still people reason various concern probability theory one start point intuitively notion plain belief believe proposition true false neither probability theory however offer formal counterpart notion believe probability probability incorrigible plain belief clearly corrigible believe give probability large c believe believe b usually take equivalent believing b thus seem formal representation plain belief take non probabilistic route indeed represent plain belief seem easy enough simply represent epistemic state set proposition believe true since make common assumption plain belief deductively close conjunction proposition believe true yet provide theory induction e answer question epistemic state represent change tbrough information experience convince partial answer new information compatible old epistemic state new epistemic state simply represent conjunction new information old belief answer partial cover quite common case new information incompatible old belief however important complete answer cover case otherwise would represent plain belief conigible crucial problem good completion epistemic state represent simply conjunction proposition believe true answer cannot complete though lot fruitful work representation epistemic state propose far know provide complete solution problem paper want suggest solution fully argue solution certain plausible desideratum satisfy section content formally define intuitively explain proposal compare proposal probability theory section turn theory propose structurally homomorphic probability theory important respect thus equally easily implementable moreover computationally simple section contains brief comparison various kind logic particular conditional logic shackle function potential surprise related theory dempster shafer theory belief function', 'nilsson propose probabilistic logic truth value logical proposition probability value applicable logical system consistency finite set proposition establish probabilistic inference scheme reduces ordinary logical inference probability proposition either logic limitation probabilistic reason system bayesian approach common sense reason consistency natural assumption well know example dick quaker quaker pacifist republicans pacifist dick republican tweety bird bird fly tweety penguin paper shall propose extension probabilistic logic second section shall consider space interpretation consistent term frame discernment basic probability assignment bpa belief function define dempster combination rule applicable extension probabilistic logic call evidential logic proposition belief function represent interval spt pls interval collapse single point evidential logic reduces probabilistic logic generalize version necessarily consistent interpretation certainly get nilsson probabilistic logic restrict consistent interpretation third section shall give probabilistic interpretation probabilistic logic term multi dimensional random variable interpretation brings probabilistic logic framework probability theory let u consider finite set sl sn logical proposition proposition may true false value may consider random variable probability distribution proposition e dimensional random variable sl sn may take value space interpretation n binary vector may compute absolute marginal conditional joint probability distribution turn permissible probabilistic interpretation vector nilsson consist joint probability inconsistent interpretation appear set joint probability zero sum appropriate joint probability get probability individual proposition subset proposition since bayes formula technique valid e dimensional random variable probabilistic logic actually close bayesian inference scheme last section shall consider relaxation scheme probabilistic logic system new evidence update belief measure collection proposition also constraint satisfaction among proposition relational network revise measure mechanism similar human reason evaluative process converge satisfactory result main idea arises consistent label problem computer vision method originally apply scene analysis line drawing later apply match constraint satisfaction multi sensor fusion several author see reference cite recently method use knowledge aggregation landy hummel']",5563
7,103,7_immune_attack_detection_intrusion,"['immune', 'attack', 'detection', 'intrusion', 'artificial immune', 'cell', 'dca', 'security', 'intrusion detection', 'dendritic cell']","['penetration test methodology assess network security generate execute possible attack automatically allow regular systematic test key question automatically generate attack natural way address issue attack planning problem thesis concern specific context regular automate pentesting use term attack plan sense follow three research direction investigate first introduce conceptual model computer network attack base analysis penetration test practice study attack model represent pddl language describe implementation integrate classical planner penetration test tool allow u automatically generate attack path real world pentesting scenario validate attack execute secondly present efficient probabilistic planning algorithm specifically design problem achieve industrial scale runtime performance able solve scenario several hundred host exploit algorithm take account probability success action expect cost example term execution time network traffic generate finally take different direction instead try improve efficiency solution develop focus improve model attacker model attack planning problem term partially observable markov decision process pomdp ground penetration test well research formalism pomdps allow model information gather integral part problem thus provide first time mean intelligently mix scan action actual exploit', 'biological immune system robust complex adaptive system defend body foreign pathogen able categorize cell molecule within body self cell non self cell help distribute task force intelligence take action local also global perspective use network chemical messenger communication two major branch immune system innate immune system unchanging mechanism detects destroy certain invade organisms whilst adaptive immune system respond previously unknown foreign cell build response remain body long period time remarkable information process biological system catch attention computer science recent year novel computational intelligence technique inspire immunology emerge call artificial immune system several concept immune extract applied solution real world science engineering problem tutorial briefly describe immune system metaphor relevant exist artificial immune system method show illustrative real world problem suitable artificial immune system give step step algorithm walkthrough one problem comparison artificial immune system well know algorithms area future work tip trick list resource round tutorial noted artificial immune system still young evolve field yet fix algorithm template hence actual implementation might differ somewhat time time example give', 'biological immune system robust complex adaptive system defend body foreign pathogen able categorize cell molecule within body self cell non self cell help distribute task force intelligence take action local also global perspective use network chemical messenger communication two major branch immune system innate immune system unchanging mechanism detects destroy certain invade organisms whilst adaptive immune system respond previously unknown foreign cell build response remain body long period time remarkable information process biological system catch attention computer science recent year novel computational intelligence technique inspire immunology emerge call artificial immune system several concept immune extract applied solution real world science engineering problem tutorial briefly describe immune system metaphor relevant exist artificial immune system method show illustrative real world problem suitable artificial immune system give step step algorithm walkthrough one problem comparison artificial immune system well know algorithms area future work tip trick list resource round tutorial noted artificial immune system still young evolve field yet fix algorithm template hence actual implementation might differ somewhat time time example give']",5563
8,92,8_dempster_belief function_dempster shafer_shafer,"['dempster', 'belief function', 'dempster shafer', 'shafer', 'evidence', 'belief', 'dempster rule', 'evidential', 'combination', 'shafer evidence']","['expert find information retrieval task concern search knowledgeable people topic basis document describe people activity task involve take user query input return list people sort level expertise regard user query paper introduces novel approach combine multiple estimator expertise base multisensor data fusion framework together dempster shafer theory evidence shannon entropy specifically define three sensor detect heterogeneous information derive textual content graph structure citation pattern community expert profile information academic expert give evidence collect sensor may define different candidate expert consequently agree final ranking decision deal conflict apply dempster shafer theory evidence combine shannon entropy formula fuse information come accurate reliable final ranking list experiment make two datasets academic publication computer science domain attest adequacy propose approach traditional state art approach also make experiment representative supervise state art algorithm result reveal proposed method achieve similar performance compare supervise technique confirm capability propose framework', 'inappropriate use dempster rule combination lead author reject dempster shafer model argue lead supposedly unacceptable conclusion default involve classic example penguin tweety paper successively present origin miss management tweety example two type default correct solution type base transferable belief model interpretation dempster shafer model shafer smets except explicitly state belief function use paper simple support function e belief function one proposition focus frame discernment receives positive basic belief mass remain mass give tautology belief function describe focus weight focus e g computation basic belief mass always perform vacuously extend belief function product space build variable involve combine space dempster rule combination project result space correspond individual variable', 'evidential reason expert system often use ad hoc uncertainty calculus although generally accept probability theory provide firm theoretical foundation researcher find problem use workable uncertainty calculus among problem representation ignorance consistency probabilistic judgement adjustment priori judgement experience application metaprobability theory evidential reason new approach solve problem metaprobability theory view way provide soft hard constraint beliefs much manner dempster shafer theory provide constraint probability mass subset state space thus use dempster shafer theory alternative theory evidential reason illuminate metaprobability theory theory evidential reason goal paper compare metaprobability theory dempster shafer theory handle adjustment belief evidence respect particular thought experiment section give brief description metaprobability dempster shafer theory metaprobability theory deal high order probability apply evidential reasoning dempster shafer theory generalization probability theory evolve theory upper low probability section describes think experiment metaprobability dempstershafer analysis experiment think experiment focus form beliefs population type member type uniquely define value three feature b c three feature one member population know type could ascertain three feature two possible value e g either al belief form evidence accrue two sensor sensor sensor b sensor sense correspond define feature sensor report half observation half observation al sensor b report half observation b half bl base two piece evidence belief distribution type population note third feature observe sensor']",5563
